product_id;status;title;current_handle;expected_handle;rule;variant_count;variant_skus;audit_reason;collision;collision_product_id;fixable
9399652254026;DRAFT;Adaptor SX Ø 65mm;wp-t1564;t1564;single_variant_exact_sku;1;T1564;expected_handle_mismatch;0;;1
8774776455498;DRAFT;Additional fuel tank kit;hsq-27007994344;27007994344;single_variant_exact_sku;1;27007994344;expected_handle_mismatch;0;;1
8774776914250;DRAFT;Additional fuel tank kit;hsq-27007994244;27007994244;single_variant_exact_sku;1;27007994244;expected_handle_mismatch;0;;1
8774777340234;DRAFT;Additional fuel tank kit;hsq-27007994144;27007994144;single_variant_exact_sku;1;27007994144;expected_handle_mismatch;0;;1
9351171277130;ACTIVE;ADH. FOIL TRANSP. 80X80 MM  04 | 04;adh-foil-transp-80x80-mm-04-04;50307012000;single_variant_exact_sku;1;50307012000;expected_handle_mismatch;0;;1
7220486242485;ACTIVE;Adidas Complete Seat 16-18;adidas-complete-seat-16-18;79007040200;single_variant_exact_sku;1;79007040200;expected_handle_mismatch;0;;1
7220484604085;ACTIVE;Adidas Seat Cover  125-... SX & SX-F 16-18;adidas-seat-cover-16-18;79007040250;single_variant_exact_sku;1;79007040250;expected_handle_mismatch;0;;1
10169673908554;ACTIVE;ADJ. SPRING - EXHAUST CONTROL;adj-spring-exhaust-control;46237074100;single_variant_exact_sku;1;46237074100;expected_handle_mismatch;0;;1
10119393247562;ACTIVE;ADJUST SCREW CPL.;adjust-screw-cpl;60031017000;single_variant_exact_sku;1;60031017000;expected_handle_mismatch;0;;1
15596081938762;DRAFT;ADJUST SCREW CPL.;adjust-screw-cpl-1;58431017000;single_variant_exact_sku;1;58431017000;expected_handle_mismatch;0;;1
8720295723338;ACTIVE;ADJUST SCREW CPL. FCR-MX;adjust-screw-cpl-fcr-mx;59031017100;single_variant_exact_sku;1;59031017100;expected_handle_mismatch;0;;1
10200782373194;ACTIVE;Adjuster compression cpl.;adjuster-compression-cpl;48600811st;single_variant_exact_sku;1;48600811ST;expected_handle_mismatch;0;;1
9582614643018;ACTIVE;adjuster housing M20x1 cpl.;adjuster-housing-m20x1-cpl;48602052s;single_variant_exact_sku;1;48602052S;expected_handle_mismatch;0;;1
9399618568522;ACTIVE;Adjuster kit 125-450 SX/XC & 125-450 FC/FX/TC/TX 2023;wp-00010000413;00010000413;single_variant_exact_sku;1;00010000413;expected_handle_mismatch;1;8773421531466;0
10230405267786;ACTIVE;Adjuster kit 125-501 TE/TC/FE/FC/FX/TX 23-25;hsq-00010000413;00010000413;single_variant_exact_sku;1;00010000413;expected_handle_mismatch;1;8773421531466;0
8790113747274;ACTIVE;Adjuster kit FC, FE, FX, TC, TE, TX (125-501) 22-25;hsq-10000413;10000413;single_variant_exact_sku;1;10000413;expected_handle_mismatch;0;;1
8501308293450;ACTIVE;Adjuster kit fork;adjuster-kit-fork;rp10026t;single_variant_exact_sku;1;RP10026T;expected_handle_mismatch;0;;1
9351635140938;ACTIVE;Adjuster Kit screw cap;adjuster-kit-screw-cap;rp10021t;single_variant_exact_sku;1;RP10021T;expected_handle_mismatch;0;;1
15181960020298;ACTIVE;adjuster kit screw cap compression;adjuster-kit-screw-cap-compression;rp10029t;single_variant_exact_sku;1;RP10029T;expected_handle_mismatch;0;;1
10215984595274;ACTIVE;Adjuster rebound;adjuster-rebound;48600018;single_variant_exact_sku;1;48600018;expected_handle_mismatch;0;;1
9399618666826;ACTIVE;Adjuster rebound 125-450 SX/XC & 125-450 FC/FX/TC/TX 2023;wp-a46004925033;a46004925033;single_variant_exact_sku;1;A46004925033;expected_handle_mismatch;1;8773421760842;0
8790114402634;ACTIVE;Adjuster rebound FC, FX, TC, TX (125-450) 22-25;hsq-a46004925033;a46004925033;single_variant_exact_sku;1;A46004925033;expected_handle_mismatch;1;8773421760842;0
10165133312330;ACTIVE;ADJUSTER SCREW;adjuster-screw;46231094000;single_variant_exact_sku;1;46231094000;expected_handle_mismatch;0;;1
8775259029834;ACTIVE;Adjusting gauge;hsq-55529022000;55529022000;single_variant_exact_sku;1;55529022000;expected_handle_mismatch;1;7113495543989;0
8775261225290;ACTIVE;Adjusting gauge;hsq-51729022000;51729022000;single_variant_exact_sku;1;51729022000;expected_handle_mismatch;1;7226124304565;0
9471551766858;ACTIVE;adjusting lever;adjusting-lever;47237077000;single_variant_exact_sku;1;47237077000;expected_handle_mismatch;0;;1
10336733036874;ACTIVE;adjusting ring steering head;adjusting-ring-steering-head;90101036000;single_variant_exact_sku;1;90101036000;expected_handle_mismatch;0;;1
9547329634634;ACTIVE;ADJUSTING SCREW;adjusting-screw;45002010050;single_variant_exact_sku;1;45002010050;expected_handle_mismatch;0;;1
