product_id;status;current_handle;new_handle;rule;variant_count;variant_skus
15360054427978;ACTIVE;35174114175-1323;35.174.114.17x;multi_variant_suffix_x;5;35.174.114.175,35.174.114.176,35.174.114.177,35.174.114.178,35.174.114.179
15360087884106;ACTIVE;35173314175-1595;35.173.314.17x;multi_variant_suffix_x;5;35.173.314.175,35.173.314.176,35.173.314.177,35.173.314.178,35.173.314.179
15360166265162;ACTIVE;35170414175-2375;35.170.414.17x;multi_variant_suffix_x;5;35.170.414.175,35.170.414.176,35.170.414.177,35.170.414.178,35.170.414.179
15360181109066;ACTIVE;35169614175-2579;35.169.614.17x;multi_variant_suffix_x;5;35.169.614.175,35.169.614.176,35.169.614.177,35.169.614.178,35.169.614.179
15359989973322;ACTIVE;35175914188-713;35.175.914.18x;multi_variant_suffix_x;5;35.175.914.188,35.175.914.187,35.175.914.186,35.175.914.185,35.175.914.184
15360019824970;ACTIVE;35175114188-985;35.175.114.18x;multi_variant_suffix_x;5;35.175.114.188,35.175.114.187,35.175.114.186,35.175.114.185,35.175.114.184
15360054690122;ACTIVE;35174114188-1325;35.174.114.18x;multi_variant_suffix_x;5;35.174.114.188,35.174.114.187,35.174.114.186,35.174.114.185,35.174.114.184
15360088080714;ACTIVE;35173314188-1597;35.173.314.18x;multi_variant_suffix_x;5;35.173.314.188,35.173.314.187,35.173.314.186,35.173.314.185,35.173.314.184
15360166723914;ACTIVE;35170414188-2377;35.170.414.18x;multi_variant_suffix_x;5;35.170.414.188,35.170.414.187,35.170.414.186,35.170.414.185,35.170.414.184
15360181240138;ACTIVE;35169614188-2581;35.169.614.18x;multi_variant_suffix_x;5;35.169.614.188,35.169.614.187,35.169.614.186,35.169.614.185,35.169.614.184
15359990137162;ACTIVE;35175914194-715;35.175.914.19x;multi_variant_suffix_x;5;35.175.914.194,35.175.914.195,35.175.914.196,35.175.914.197,35.175.914.198
15360020054346;ACTIVE;35175114194-987;35.175.114.19x;multi_variant_suffix_x;5;35.175.114.194,35.175.114.195,35.175.114.196,35.175.114.197,35.175.114.198
15360054952266;ACTIVE;35174114194-1327;35.174.114.19x;multi_variant_suffix_x;5;35.174.114.194,35.174.114.195,35.174.114.196,35.174.114.197,35.174.114.198
15360088244554;ACTIVE;35173314194-1599;35.173.314.19x;multi_variant_suffix_x;5;35.173.314.194,35.173.314.195,35.173.314.196,35.173.314.197,35.173.314.198
15360167346506;ACTIVE;35170414194-2379;35.170.414.19x;multi_variant_suffix_x;5;35.170.414.194,35.170.414.195,35.170.414.196,35.170.414.197,35.170.414.198
15360181305674;ACTIVE;35169614194-2583;35.169.614.19x;multi_variant_suffix_x;5;35.169.614.194,35.169.614.195,35.169.614.196,35.169.614.197,35.169.614.198
