id,handle,title,fits_on,fits_on_year,fits_on_make,fits_on_model,fits_on_year_new,fits_on_make_new,fits_on_model_new,ymm_summary,parts_compartment,parts_floor,parts_shelve,parts_list,parts_box,parts_row,global_fits_on_make_new,global_fits_on_model_new,global_fits_on_year_new,MPN
,wp-250sx2013,250 SX 2013,"{""KTM"":{""250 SX"":[""2013""]}}",2013,KTM,250 SX,,,,KTM 250 (SX) 2013-2013,,,,,,,,,,F6301M0
,wp-250sx2015,250 SX 2015,"{""KTM"":{""250 SX"":[""2015""]}}",2015,KTM,250 SX,,,,KTM 250 (SX) 2015-2015,,,,,,,,,,F6301O0
,wp-250sx2016,250 SX 2016,"{""KTM"":{""250 SX"":[""2016""]}}",2016,KTM,250 SX,,,,KTM 250 (SX) 2016-2016,,,,,,,,,,F6301P0
,wp-250sx2017,250 SX 2017,"{""KTM"":{""250 SX"":[""2017""]}}",2017,KTM,250 SX,,,,KTM 250 (SX) 2017-2017,,,,,,,,,,F6301Q0
,wp-250sx2018,250 SX 2018,"{""KTM"":{""250 SX"":[""2018""]}}",2018,KTM,250 SX,,,,KTM 250 (SX) 2018-2018,,,,,,,,,,F6301R0
,wp-250sx2019,250 SX 2019,"{""KTM"":{""250 SX"":[""2019""]}}",2019,KTM,250 SX,,,,KTM 250 (SX) 2019-2019,,,,,,,,,,F6301S0
,wp-250sx2020,250 SX 2020,"{""KTM"":{""250 SX"":[""2020""]}}",2020,KTM,250 SX,,,,KTM 250 (SX) 2020-2020,,,,,,,,,,F6301T0
,wp-250sxf2015,250 SX-F 2015,"{""KTM"":{""250 SX-F"":[""2015""]}}",2015,KTM,250 SX-F,,,,KTM 250 (SX) 2015-2015,,,,,,,,,,F8101O5
,wp-250sxf2016,250 SX-F 2016,"{""KTM"":{""250 SX-F"":[""2016""]}}",2016,KTM,250 SX-F,,,,KTM 250 (SX) 2016-2016,,,,,,,,,,F8101P5
,wp-250sxf2021,250 SX-F 2021,"{""KTM"":{""250 SX-F"":[""2021""]}}",2021,KTM,250 SX-F,,,,KTM 250 (SX) 2021-2021,,,,,,,,,,F8101U5
,wp-250sxf2023,250 SX-F 2023,"{""KTM"":{""250 SX-F"":[""2023""]}}",2023,KTM,250 SX-F,,,,KTM 250 (SX) 2023-2023,,,,,,,,,,F8101W5
,wp-250sxf2027,250 SX-F 2027,"{""KTM"":{""250 SX-F"":[""2027""]}}",2027,KTM,250 SX-F,,,,KTM 250 (SX) 2027-2027,,,,,,,,,,F8101527
,wp-250xc-f2017,250 XC-F 2017,"{""KTM"":{""250 XC-F"":[""2017""]}}",2017,KTM,250 XC-F,,,,KTM 250 (XCF) 2017-2017,,,,,,,,,,F8101Q0
,wp-250xc-w2017,250 XC-W 2017,"{""KTM"":{""250 XC-W"":[""2017""]}}",2017,KTM,250 XC-W,,,,KTM 250 (XC) 2017-2017,,,,,,,,,,F7301Q3
,wp-250xc-w2018,250 XC-W 2018,"{""KTM"":{""250 XC-W"":[""2018""]}}",2018,KTM,250 XC-W,,,,KTM 250 (XC) 2018-2018,,,,,,,,,,F7175R4
,wp-250xc2017,250 XC 2017,"{""KTM"":{""250 XC"":[""2017""]}}",2017,KTM,250 XC,,,,KTM 250 (XC) 2017-2017,,,,,,,,,,F6301Q5
,wp-300exc2012,300 EXC 2012,"{""KTM"":{""300 EXC"":[""2012""]}}",2012,KTM,300 EXC,,,,KTM 300 (EXC) 2012-2012,,,,,,,,,,7403L6
,wp-300exc2015,300 EXC 2015,"{""KTM"":{""300 EXC"":[""2015""]}}",2015,KTM,300 EXC,,,,KTM 300 (EXC) 2015-2015,,,,,,,,,,F7403O6
,wp-300exc2016,300 EXC 2016,"{""KTM"":{""300 EXC"":[""2016""]}}",2016,KTM,300 EXC,,,,KTM 300 (EXC) 2016-2016,,,,,,,,,,F7403P6
,wp-300exc2017,300 EXC 2017,"{""KTM"":{""300 EXC"":[""2017""]}}",2017,KTM,300 EXC,,,,KTM 300 (EXC) 2017-2017,,,,,,,,,,F7403Q6
